Company.name,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
emergefinancialwellness,,,10.0,10,7007.0,0.4855963678997863,0,0,,10000000.0,1092000000.0,700000000.0,64000000.0,15000000000.0,96000000.0,6948000000.0,75000000.0,85000000.0,46000000000.0
yogatrail,,,8.0,9,78.0,0.20524878312601405,0,0,,60000000.0,35000000.0,264000000.0,10000000.0,100000000.0,50000000.0,10000000.0,241000000.0,10000000.0,0.0
yrmrkt,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cureeo,,,12.5,9,273.9,0.5045154548079024,0,0,,100000000.0,299000000.0,17000000.0,34000000.0,75000000.0,66000000.0,53000000.0,95000000.0,2000000000.0,0.0
insightly,,,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocztechnology,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuvustudio,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coub,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
positrondynamics,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formzapper,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repairreport,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owncloud,,,4.4,10,175.3,0.23690476522269077,0,0,,80000000.0,165000000.0,800000000.0,150000000.0,74000000.0,27000000.0,120000000.0,180000000.0,107000000.0,50000000.0
lassomedia,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfsweb,,,325.8,10,234553.7,0.23543083248697785,0,0,,157000000.0,401000000000.0,332000000.0,48000000.0,40000000000.0,796000000000.0,585000000000.0,388000000000.0,89000000000.0,46000000000.0
hapyak,,,1.0,10,78.3,0.23668798073941438,0,0,,10000000.0,80000000.0,120000000.0,20000000.0,33000000.0,14000000.0,338000000.0,24000000.0,50000000.0,94000000.0
mark43,,,5.6,10,1818.8,0.40230019669061556,0,0,,113000000.0,30000000.0,100000000.0,9353000000.0,250000000.0,20000000.0,51000000.0,500000000.0,1067000000.0,6704000000.0
smartcoffeetechnology,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infocheckpoint,,,1.0,10,356.1,0.22562984231308542,0,0,,50000000.0,844000000.0,180000000.0,61000000.0,161000000.0,1147000000.0,873000000.0,120000000.0,50000000.0,75000000.0
wondermall,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphynkxtherapeutics,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rijuven,,,3.0,10,31.0,0.14911764705882352,0,0,,12000000.0,20000000.0,40000000.0,40000000.0,40000000.0,100000000.0,10000000.0,13000000.0,10000000.0,25000000.0
brushfireinteractive,,,4.1,9,384.4,0.39084138744370406,0,0,,100000000.0,40000000.0,10000000.0,1025000000.0,2183000000.0,49000000.0,121000000.0,194000000.0,122000000.0,0.0
seekretreat,,,12.0,4,28.2,0.4470805178089651,0,0,,239000000.0,10000000.0,10000000.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0
absolutdata,,,25.0,10,78672.1,0.40464191620117096,0,0,,301000000.0,30000000.0,40000000.0,102000000000.0,85000000.0,125000000.0,90000000.0,398000000000.0,286000000000.0,50000000.0
aayuja,,,1.7,10,125.2,0.16267843048856748,0,0,,234000000.0,131000000.0,10000000.0,10000000.0,350000000.0,90000000.0,29000000.0,118000000.0,190000000.0,90000000.0
haload,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poppin,,,63.6,10,252951.0,0.3763498021531174,0,0,,100000000.0,28000000.0,100000000.0,250000000.0,32000000.0,202000000000.0,520000000000.0,1417000000000.0,111000000000.0,279000000000.0
appcurious,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adbrain,,,1.0,7,9652.9,0.5719143699595218,0,0,,29000000000.0,25000000.0,300000000.0,10000000.0,67000000000.0,150000000.0,44000000.0,0.0,0.0,0.0
maventusmedia,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everwise,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepforestmedia,,,4.4,10,461.2,0.4886944274689718,0,0,,33000000.0,60000000.0,61000000.0,856000000.0,24000000.0,157000000.0,97000000.0,79000000.0,115000000.0,3130000000.0
mindplatetv,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zergnet,,,2.9,10,184.3,0.38643481992840967,0,0,,10000000.0,151000000.0,50000000.0,100000000.0,200000000.0,85000000.0,40000000.0,1125000000.0,32000000.0,50000000.0
sesamii,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crowdsupply,,,3.2,10,214.4,0.20867180741782007,0,0,,194000000.0,346000000.0,50000000.0,230000000.0,831000000.0,77000000.0,65000000.0,50000000.0,264000000.0,37000000.0
albaorbital,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celebcalls,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ultralinqhealthcaresolutions,,,10.0,10,308.5,0.5483339535548551,0,0,,70000000.0,55000000.0,100000000.0,2342000000.0,50000000.0,120000000.0,103000000.0,100000000.0,100000000.0,45000000.0
parametric,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
higherlearningtechnologies,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovascience,,,1.0,9,121.5,0.2261877551020408,0,0,,490000000.0,100000000.0,220000000.0,10000000.0,43000000.0,60000000.0,157000000.0,95000000.0,40000000.0,0.0
908devices,,,,,,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
versanetworks,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
socialhighrise,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everstring,,,20.0,10,325.1,0.283296783776111,0,0,,300000000.0,52000000.0,48000000.0,1521000000.0,931000000.0,214000000.0,44000000.0,28000000.0,100000000.0,13000000.0
easypaint,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferevo,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collegesnackattack,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boxcat,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebuybit,,,4.3,4,30.5,0.36763442991148104,0,0,,10000000.0,112000000.0,10000000.0,173000000.0,0.0,0.0,0.0,0.0,0.0,0.0
bakesale,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monsieur,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appcard,,,1.0,10,50.4,0.16899574558282487,0,0,,160000000.0,50000000.0,20000000.0,40000000.0,17000000.0,20000000.0,97000000.0,35000000.0,10000000.0,55000000.0
lumate,,,5.0,8,300.7,0.8400299446274786,0,0,,26000000.0,30000000.0,50000000.0,16000000.0,10000000.0,21000000.0,2800000000.0,54000000.0,0.0,0.0
citynotes,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modsystems,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jibo,,,10.0,10,52.3,0.15231791492003946,0,0,,30000000.0,52000000.0,54000000.0,10000000.0,50000000.0,157000000.0,120000000.0,15000000.0,25000000.0,10000000.0
tagthiscar,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windforceventures,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genapsys,,,6.0,9,3421.8,0.9274464834794764,0,0,,50000000.0,50000000.0,100000000.0,840000000.0,36000000.0,42000000.0,50000000.0,33000000000.0,50000000.0,0.0
campthat,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxtome,,,4.6,10,13391.3,0.33107018688374323,0,0,,15000000000.0,3174000000.0,10000000.0,51000000.0,48000000000.0,58000000000.0,1032000000.0,5000000000.0,200000000.0,3446000000.0
persimmontechnologies,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobilesystem7,,,1.9,10,18894.3,0.31013908053839534,0,0,,40000000.0,486000000.0,30000000000.0,22000000000.0,87000000000.0,530000000.0,1932000000.0,875000000.0,46000000000.0,80000000.0
socialtagg,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plasmasi,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tascet,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peerim,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nexamp,,,11.3,9,258.7,0.19181975308641974,0,0,,112000000.0,60000000.0,800000000.0,708000000.0,92000000.0,150000000.0,325000000.0,40000000.0,300000000.0,0.0
cdnsumo,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
over40females,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awesomenesstv,,,4.0,10,169.3,0.23904825676117084,0,0,,750000000.0,33000000.0,100000000.0,100000000.0,80000000.0,299000000.0,140000000.0,50000000.0,120000000.0,21000000.0
zeuss,,,1.0,9,3317.8,0.3742154657752419,0,0,,2978000000.0,30000000.0,45000000.0,50000000.0,1800000000.0,16000000000.0,12000000000.0,25000000.0,250000000.0,0.0
propertycapsule,,,4.6,5,191.5,0.20149649423316113,0,0,,253000000.0,335000000.0,510000000.0,445000000.0,372000000.0,0.0,0.0,0.0,0.0,0.0
finalsite,,,8.0,10,1073.6,0.45790020974843315,0,0,,75000000.0,35000000.0,90000000.0,50000000.0,2095000000.0,398000000.0,38000000.0,6945000000.0,150000000.0,860000000.0
lstn,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timely,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laicos,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hellofresh,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seeforge,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zubie,,,5.0,10,280.8,0.34169171921621555,0,0,,60000000.0,40000000.0,30000000.0,45000000.0,13000000.0,10000000.0,90000000.0,480000000.0,1500000000.0,540000000.0
savveo,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truelens,,,7.3,10,182.8,0.1914452400671758,0,0,,75000000.0,50000000.0,444000000.0,634000000.0,74000000.0,203000000.0,83000000.0,50000000.0,115000000.0,100000000.0
mobiley,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protostarpartners,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optionscitysoftware,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keiretsuforum,,,5.3,8,47.4,0.16800910239838115,0,0,,82000000.0,148000000.0,56000000.0,10000000.0,46000000.0,20000000.0,96000000.0,16000000.0,0.0,0.0
humannetworklabs,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transbiotec,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genesisfinancialsolutions,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edisonventures,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloudtags,,,5.8,10,136336.2,0.9979183045254786,0,0,,50000000.0,457000000.0,380000000.0,50000000.0,115000000.0,50000000.0,1362000000000.0,100000000.0,120000000.0,40000000.0
gryphonnetworks,,,28.0,10,10498.1,0.9391719074307675,0,0,,525000000.0,500000000.0,127000000.0,451000000.0,90000000.0,33000000.0,130000000.0,102000000000.0,1025000000.0,100000000.0
cyanto,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projecteve,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clickquotesave,,,1.0,9,4646.2,0.5420323428222232,0,0,,4772000000.0,480000000.0,50000000.0,7649000000.0,200000000.0,33000000000.0,200000000.0,61000000.0,50000000.0,0.0
overdog,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyme,,,3.0,3,78.0,0.4382716049382716,0,0,,355000000.0,25000000.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beatneek,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catapultdesign,,,5.0,10,136.4,0.14416953920083866,0,0,,10000000.0,133000000.0,117000000.0,290000000.0,148000000.0,66000000.0,247000000.0,62000000.0,281000000.0,10000000.0
waveplay,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightarrow,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cadcrowd,,,1.0,10,388.0,0.46110982613120455,0,0,,2565000000.0,136000000.0,90000000.0,60000000.0,503000000.0,54000000.0,50000000.0,10000000.0,95000000.0,317000000.0
sumzero,,,7.0,9,9794.4,0.9794543637289538,0,0,,150000000.0,83000000.0,20000000.0,38000000.0,10000000.0,573000000.0,19000000.0,51000000.0,97000000000.0,0.0
getafive,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pharosinnovations,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kemptechnologies,,,49.3,10,8382.6,0.27276388944314195,0,0,,22000000000.0,1984000000.0,4058000000.0,30000000000.0,20000000.0,2354000000.0,23000000000.0,233000000.0,157000000.0,20000000.0
exablox,,,5.0,10,265.2,0.17779165144003317,0,0,,700000000.0,100000000.0,80000000.0,27000000.0,500000000.0,193000000.0,40000000.0,50000000.0,612000000.0,350000000.0
profitbricks,,,5.5,10,361.7,0.20367774621346965,0,0,,190000000.0,50000000.0,250000000.0,200000000.0,961000000.0,44000000.0,100000000.0,140000000.0,500000000.0,1182000000.0
wishplz,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vimty,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvaxbiomedical,,,6.3,10,51157.5,0.9936117584635241,0,0,,32000000.0,38000000.0,30000000.0,45000000.0,120000000.0,40000000.0,1060000000.0,100000000.0,510000000000.0,110000000.0
printful,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achievemint,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
videoblocks,,,33.4,10,872.3,0.5034449236515623,0,0,,13000000.0,56000000.0,6130000000.0,10000000.0,100000000.0,346000000.0,64000000.0,100000000.0,1860000000.0,44000000.0
