Company.name,owler corrrectionn,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
fingo,,Fingo is a mobile app with augmented reality that allows users to choose personalized home furniture.,"Apps, E-Commerce, Furniture, Mobile",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
worthit,,Worth It is a eCommerce sales notification application.,"E-Commerce, Shopping",1,10,135.1,0.164059191,0,0,,3,2.3,30.4,12.5,17.7,11.1,32.8,18.9,1,5.4
nexb,,DejaCode is an open data platform for managing open source and third-party software components in your products.,"Open Source, SaaS, Software",4,9,139.9,0.178995923,0,0,,37.5,8,9.7,3.6,9.5,11,17.6,6,37,0
keenjar,,Keenjar is a place to discover and share video content with others.,"Art, Content Discovery, EdTech, Education, Information Technology",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
qumulo,,"Qumulo is a startup company developing simple, scalable, and efficient enterprise data storage systems.","Big Data, Data Storage, Enterprise Software",22.8,10,11231.9,0.699568553,0,0,,30.6,3,29.3,12,50,1,9200,5,1900,1
soundbetter,,Marketplace for music production,"Internet, Marketplace, Music",7,9,66.1,0.234813616,0,0,,5,3,1,27.6,3.5,2.4,3.8,10.5,9.3,0
maxmytv,,MaxMyTV Smart Hub upgrades your TV to a Home Automation and Social Media Control Center.,"Internet, Internet of Things, Smart Home",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
fitstar,,FitStar is a technology company developing health and fitness apps that help people streamline their workout sessions.,"Apps, Fitness, Health Care",4,8,68.5,0.449091587,0,0,,3,3,5,3.5,3,3,3,45,0,0
infernoredtechnology,,InfernoRed Technology is a software development services company.,"Consulting, Information Technology, iOS, Web Development",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
mytraining,,The Platform for Fitness Workouts,"Fitness, Internet, Marketplace, Mobile, Social Media, Wellness",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
isitechnology,,"Heatworks provides innovative electric liquid heating products for residential, commercial, and industrial applications.","Hardware, Internet of Things, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
gliffy,,"Gliffy is an online diagram editor for creating and sharing flowcharts, network diagrams, floor plans, user interface designs and more. ","Collaboration, Computer, Enterprise Software, Internet, Software",5.2,10,102.4,0.22992897,0,0,,3.5,21.2,41.5,1,2.9,5.9,4.1,7.1,7.4,7.8
flowserve,,,,3800,10,103681.6,0.864337626,0,0,,123.7,1500,3200,7.1,10,13.5,96300,181.7,2300,45.6
king2,,Roadmap improves efficiency and transparency for project-driven teams by unifying your task management and collaboration stack.,"Business Intelligence, Project Management",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
pathfinderhealth,,Pathfinder Health is a health and fitness company providing mobile healthcare services.,"Fitness, Health Care, mHealth",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
rethinkeducation,,Rethink Education is a venture capital fund focused exclusively on education technology that invests in early- and growth-stage start-ups,"EdTech, Enterprise Software",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
bionanovations,,BioNanovations is developing a real-time bacterial diagnostic platform to decrease the diagnostic time of Staph infections.,"Health Care, Health Diagnostics",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
snapmyad,snapmyad,"SnapMyAd, a mobile app, uses social media for ad creation and enables its users to win perks from brands for their photos.","Advertising, iOS, Photo Sharing, Photography",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
maxwellhealth,maxwellhealth,Maxwell Health is a technology platform and innovative marketplace solution that makes benefits and HR simple.,"Enterprise Software, Health Care, Human Resources, Mobile, SaaS",6,10,569.3,0.261976358,0,1,,80,2,45.2,46.4,12,258.7,25,12.5,7.5,80
menloparksoftware,,Worry Free Compliance_,"Enterprise Software, SaaS, Software",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
filmfunder,,Kickstarter meets E-Trade for film inves,"Crowdfunding, Film, Financial Services",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
dfmsim,,DFMSim is a semiconductor company developing a simulation technology that enables designing and production of more complex chips.,"Electronics, Hardware, Semiconductor",,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
logicalchoicetechnologies,logicalchoice,Logical Choice Technologies is a developer of educational technologies for students and educators.,"EdTech, Education",24.3,9,418.5,0.320379748,0,1,,90,47.8,10,1.1,9,7.5,209.5,39.8,3.8,0
codehs,,CodeHS is a comprehensive platform for helping high schools teach computer science.,"Developer Platform, E-Learning, EdTech, Education, Secondary Education, STEM Education",25.8,10,248.7,0.490503816,0,0,,6,3,4,1,5,48.3,166.8,8,5.6,1
snapshots,,Snapshots is a powerful SaaS platform designed for professional wedding vendors and their clients.,"Apps, E-Commerce, Mobile, Photography, Software, Wedding",1,8,783.4,0.523617912,0,0,,12,40,65,24.7,50,27.6,558.1,6,0,0
vendorsi,,Vendorsi is the world's first and only 100% independent platform for objective software research.,"Big Data, Enterprise Software, SaaS",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
democrasoft,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
collectit,,"Collect.it is a mobile application that enables users to discover, save, and share what they love on the web.","Mobile, Social Media",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
insidesalescom,,Insidesales.com designs and develops sales automation platforms.,"Analytics, Artificial Intelligence, Big Data, Enterprise Software, Lead Management, Machine Learning, Predictive Analytics, SaaS, Sales Automation",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
brookstone,,Brookstone is a nationwide specialty retailer that offers an assortment of consumer products.,"Consumer, Retail",117.7,10,878.8,0.22128978,0,0,,10,305,180,137.1,9.9,18.5,150,60,5.5,2.8
simplyinsured,,SimplyInsured allows you to estimate your real Out-of-Pocket costs when purchasing health insurance.,"E-Commerce, Health Care, Insurance",1,10,280.1,0.397640538,0,0,,3.8,2,6,13.3,4.2,156.4,80,8,2,4.4
pheebo,,"The best way to watch video on your iPhone, iPad, and Apple TV.","Apps, Consumer Electronics, iOS, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
emergefinancialwellness,,"Emerge! provides employer-backed workplace loans, using innovative models for risk assessment, that effectively replace payday lenders.",Finance,10,10,7007,0.486981352,0,0,,1,109.2,70,6.4,1500,9.6,694.8,7.5,8.5,4600
yogatrail,,A global yoga network that connect yoga practitioners with their instructors and studios,"Fitness, Freemium, Health Care, Social Media",8,9,78,0.238990796,0,0,,6,3.5,26.4,1,10,5,1,24.1,1,0
yrmrkt,,"YR.MRKT is a social shopping platform that connects brands with shoppers to shop, sell, and share products.","Brand Marketing, E-Commerce, Fashion, Social Media",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
cureeo,,Cureeo is an online marketplace that offers original and limited edition artwork to collectors and novice art enthusiasts.,"Art, E-Commerce",12.5,9,273.9,0.549532725,0,0,,10,29.9,1.7,3.4,7.5,6.6,5.3,9.5,200,0
insightly,insightly,"Grow your relationships, accelerate sales, manage your projects, and streamline business processes__ll with Insightly CRM","CRM, Enterprise Software, Project Management, SaaS, Small and Medium Businesses, Software",14,9,2545.3,0.586612672,0,0,,7,1900,42,1,3.4,1.8,103.9,70.5,415.7,0
ocztechnology,ocz,"OCZ Storage Solutions develops solid state drives such as DDR RAM, video cards, USB drives, various cooling products, and more.","Computer, Enterprise Software, Service Industry",131.7,8,121.8,0.200292007,0,0,,2.8,6.1,5,22.8,30.6,29.3,1,24.2,0,0
nuvustudio,,Innovative Education for the Future,Education,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
coub,,Coub is an online portal that enables users to create high quality moving images with sound.,"Photography, Video",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
positrondynamics,,Positron dynamics develops positron beam technologies used in the testing of critical components in the aerospace and defense markets.,"Aerospace, Information Technology, Manufacturing",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
formzapper,formzapper,LendingStandard modernizes multifamily finance,"Banking, Commercial Real Estate, Document Management, Enterprise Software, Real Estate",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
repairreport,,"Repair Report is an automobile repair network offering online listings, deals, and offers of various repair report centers.","Automotive, E-Commerce, Social Network, Web Browsers",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
owncloud,,"ownCloud, an open-source project that enables businesses to host their own cloud storage while maintaining regulatory and compliance needs.","Cloud Storage, Enterprise Software, Open Source",4.4,10,175.3,0.248316552,0,0,,8,16.5,80,15,7.4,2.7,12,18,10.7,5
lassomedia,,Lasso offers a mobile app that enables its users to share photos with their friends.,"Photography, Private Social Networking",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
pfsweb,,,,325.8,10,234553.7,0.236083394,0,0,,15.7,40100,33.2,4.8,4000,79600,58500,38800,8900,4600
hapyak,,HapYak is the world-leading interactive video platform.,"Brand Marketing, Corporate Training, E-Commerce, Enterprise Software, SaaS, Video",1,10,78.3,0.242609148,0,0,,1,8,12,2,3.3,1.4,33.8,2.4,5,9.4
mark43,,"Mark43 is building a new kind of public safety platform that allows first responders to collect, manage, analyze, and share information.","Cloud Computing, GovTech, Law Enforcement, Public Safety, Software",5.6,10,1818.8,0.404771857,0,0,,11.3,3,10,935.3,25,2,5.1,50,106.7,670.4
smartcoffeetechnology,,Smart Coffee Technology is a technology developing company providing tools & hardware products that integrate the coffee industry.,"Coffee, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
infocheckpoint,,"Info CheckPoint provides B2B data through an online application that allows instant accessibility to people, business & company information.","B2B, Big Data, Direct Marketing, Email, Email Marketing, Lead Generation, Sales Automation, Search Engine",1,10,356.1,0.226890963,0,0,,5,84.4,18,6.1,16.1,114.7,87.3,12,5,7.5
wondermall,,"A virtual shopping mall for iPad, gathering dozens of top brand stores on a single app.","Mobile, Shopping",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
sphynkxtherapeutics,,SphynKx Therapeutics is a biotechnology company developing therapies for the treatment of diseases such as cancer and fibrosis.,"Biotechnology, Therapeutics",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
rijuven,,Rijuven is a medical device company developing portable point-of-care diagnostic devices.,"Health Care, Health Diagnostics, Medical Device, mHealth",3,10,31,0.170010406,0,0,,1.2,2,4,4,4,10,1,1.3,1,2.5
brushfireinteractive,,Brushfire Interactive is a mobile and web developer contracted by businesses.,"Apps, Mobile, Non Profit, Software",4.1,9,384.4,0.399109495,0,0,,10,4,1,102.5,218.3,4.9,12.1,19.4,12.2,0
seekretreat,,Seek your retreat. We provide eco-luxury adventure retreats in the world of yoga.,Health Care,12,4,28.2,0.727453347,0,0,,23.9,1,1,2.3,0,0,0,0,0,0
absolutdata,,AbsoluteData offers analytics-based solutions that enable its clients to enhance customer loyalty and accelerate revenue cycles.,"Analytics, Big Data, Consulting, Data Integration",25,10,78672.1,0.404899026,0,0,,30.1,3,4,10200,8.5,12.5,9,39800,28600,5
aayuja,,Outsourced Technology Sales Solutions,"Consulting, Lead Generation, Social Media Marketing",1.7,10,125.2,0.166941839,0,0,,23.4,13.1,1,1,35,9,2.9,11.8,19,9
haload,,Haload is a one-stop-shop for companies and individuals looking to receive 30-second quotes from qualified transportation carriers.,"E-Commerce, Mobile, Price Comparison, Public Transportation, Transportation",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
poppin,,Office Furniture Solutions,"B2B, Furniture",63.6,10,252951,0.376539016,0,0,,10,2.8,10,25,3.2,20200,52000,141700,11100,27900
appcurious,,AppCurious is an Internet forum enabling app users to get their questions answered and get personalized app recommendations from developers.,"Apps, Mobile, Social Media",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
adbrain,,"Adbrain powers marketers and their partners to understand and engage with their customers 1:1 across devices, channels and platforms.","Advertising, Artificial Intelligence, Enterprise Software, Marketing Automation, Mobile",1,7,9652.9,0.572032861,0,0,,2900,2.5,30,1,6700,15,4.4,0,0,0
maventusmedia,,Complete visual content management & social publishing software,"Advertising, Social Media, Social Media Marketing, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
everwise,geteverwise,Everwise__ software and services connect employees to the experts and insights they need to be successful at every stage of their career,"Human Resources, SaaS, Software",3.5,10,596.6,0.796098385,0,0,,4.5,10,16.7,16,2,1,2.8,3,531.6,9
deepforestmedia,,Self-learning DSP for Mobile,"Advertising, Big Data, Mobile, Mobile Advertising",4.4,10,461.2,0.497972501,0,0,,3.3,6,6.1,85.6,2.4,15.7,9.7,7.9,11.5,313
mindplatetv,,internet video streaming service,"Film, Video",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
zergnet,,Content Recommendation that promotes links to your articles on hundreds of partner sites in a private network.,"Advertising, Content Creators, Content Discovery, Software",2.9,10,184.3,0.398444172,0,0,,1,15.1,5,10,20,8.5,4,112.5,3.2,5
sesamii,,"Sesamii is a service that helps consumers plan their weekend nightlife with a list of the best bars and clubs, and trusted expert reviews.","Lifestyle, Location Based Services, Mobile, Nightclubs",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
crowdsupply,,Where engineers and designers crowdfund awesome new products.,"Consumer Electronics, Crowdfunding, E-Commerce, Hardware, Internet of Things, Product Design",3.2,10,214.4,0.214724535,0,0,,19.4,34.6,5,23,83.1,7.7,6.5,5,26.4,3.7
albaorbital,,Alba Orbital build and design the world's smallest commercial satellite platforms being PocketQube format.,"Aerospace, Satellite Communication, Space Travel",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
celebcalls,,CelebCall offers a personalized greeting service that allows users to create and send audio messages voiced by a celebrity.,"Android, Apps, Celebrity, iOS, Messaging, Mobile, Professional Services, Sports",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
ultralinqhealthcaresolutions,,UltraLinq Healthcare Solutions is a cloud based medical image and data management platform.,"Health Care, Information Technology, SaaS",10,10,308.5,0.583407769,0,0,,7,5.5,10,234.2,5,12,10.3,10,10,4.5
parametric,parametricportfolio,"Parametric offers CheckMate, a mobile ordering and payment software solution for the restaurant industry.","Analytics, Big Data, Mobile, Mobile Payments, Software, Sports",27.1,10,39251.2,0.563470254,0,0,,25,6.6,40.1,20,15.5,35,8500,2500,28100,9
higherlearningtechnologies,hltcorp,HLT specializes in using mobile technology to create better education solutions,"Apps, EdTech, Education, iOS, Mobile, Software",3,9,2247.9,0.874824447,0,0,,8,3,2.4,100,12,1,17.1,2100,4.4,0
ovascience,,,,1,9,121.5,0.229858592,0,0,,49,10,22,1,4.3,6,15.7,9.5,4,0
908devices,908devices,"908devices manufactures battery-operated, hand-held chemical detection tools used in mass spectrometry.","Battery, Chemical, Manufacturing",4.4,10,10380.8,0.369996688,0,0,,25,8,9.7,7,16.1,5,10,1900,3500,4900
versanetworks,versa-networks,Versa Networks is an innovative vendor in the SD-WAN and SD-Security market.,"Network Hardware, Network Security, Telecommunications",10,10,52182,0.948184008,0,0,,15.8,7,6.5,16.3,96.7,35,1100,80,50800,24.7
socialhighrise,,Social media management for restaurants.,"Outsourcing, Small and Medium Businesses, Social Media, Social Media Marketing",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
everstring,,EverString helps companies leverage data to optimize sales and marketing capabilities,"Marketing, Predictive Analytics, Software",20,10,327.9,0.31042042,0,0,,30,4.8,152.1,93.1,21.4,4.4,2.8,10,8,1.3
easypaint,,"Request, schedule, and pay a certified professional to paint your home.","Consumer, Information Services, Online Auctions",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
ferevo,,Ferevo is a mobile network that provides targeted advertising content to end users through messaging and VoIP apps on their smartphones.,"Ad Network, Advertising, Advertising Platforms, Apps, Information Technology, iOS, Marketing, Messaging",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
collegesnackattack,,College Snack Attack is a late night snack delivery service for college campuses.,"Delivery, Internet",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
boxcat,box-cat,Indie games collaboration micropublishin,"Consumer Electronics, Mobile, Video Games",1.4,6,7.2,0.181712963,0,0,,1.1,1,1,1.1,1,2,0,0,0,0
ebuybit,,Ebuybit.com is an online retailer offering a wide variety of items at discount prices.,"E-Commerce, Shipping, Shopping",4.3,4,30.5,0.458726149,0,0,,1,11.2,1,17.3,0,0,0,0,0,0
bakesale,,In-Stream and Social Fundraising Platfor,"Crowdfunding, Social Media",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
monsieur,,"Monsieur is the leader in the automated bartending space and has been featured in CNN, TechCrunch, and Business Insider.","Hardware, Robotics, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
appcard,,"AppCard is a platform enabling merchants to retain customer through loyalty programs, analytics engines, rewards and personalized offers.","Analytics, Business Intelligence, FinTech, Loyalty Programs",1,10,50.4,0.17537478,0,0,,16,5,2,4,1.7,2,9.7,3.5,1,5.5
lumate,,Lumate is a high frequency trading platform for mobile advertising.,"Advertising, Android, Apps, iOS, Mobile, Mobile Advertising",5,8,300.7,0.86792153,0,0,,2.6,3,5,1.6,1,2.1,280,5.4,0,0
citynotes,,City Notes provides users with city guide applications optimized for iPhones.,"Android, Guides, Mobile Apps",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
modsystems,,MOD Systems offers a platform that enables retailers to sell and distribute digital entertainment to consumers effectively.,"Consumer, Digital Entertainment, Enterprise Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
jibo,,Jibo is a design-driven company that creates unforgettable experiences through advanced robotics technology.,"Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics",10,10,52.3,0.179575109,0,0,,3,5.2,5.4,1,5,15.7,12,1.5,2.5,1
tagthiscar,,Making Drivers Smarter!,"Automotive, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
windforceventures,,Windforce Ventures is a venture capital firm specialized in early-stage social media and mobile technology investments.,"B2B, Finance, Mobile, Social Media, Venture Capital",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
genapsys,,GenapSys has developed a novel DNA sequencing technology and detection system for applied genomic testing and medical sequencing.,"Biotechnology, Genetics, Health Diagnostics",6,9,3421.8,0.930698747,0,0,,5,5,10,84,3.6,4.2,5,3300,5,0
campthat,,"Campthat LLC is a company based out of 3654 Ranchero Dr Apt 206, Ann Arbor, MI, United States.","Location Based Services, Social Media",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
proxtome,,Platform technology for proximity-based mobile access to any smart device that would normally require physical interaction.,"Cloud Infrastructure, FinTech, Internet of Things, Mobile, Mobile Payments, Retail Technology",4.6,10,13391.3,0.331297558,0,0,,1500,317.4,1,5.1,4800,5800,103.2,500,20,344.6
persimmontechnologies,persimmontech,"Persimmon Technologies manufactures atmospheric and vacuum robotics, vacuum modules, and automation systems.","Hardware, Manufacturing, Robotics, Semiconductor, Software",5,9,5717.8,0.35395533,0,0,,5,15,20,117.8,20,602.7,2800,337.3,1800,0
mobilesystem7,,"Mobile System 7's products protect enterprise data, by using advanced analytics and adaptive access controls.","Analytics, Enterprise Software, Mobile, SaaS, Security",1.9,10,18894.3,0.310201448,0,0,,4,48.6,3000,2200,8700,53,193.2,87.5,4600,8
socialtagg,,Better Networking. Better Events.,"Apps, Events, Mobile, NFC, QR Codes, Social Media, Software",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
plasmasi,,PlasmaSi manufactures miscellaneous industrial equipments.,"Hardware, Industrial, Manufacturing",,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
