Company.name,owler corrrectionn,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
clicdata,,ClicData is a leading provider of cloud-based dashboard systems that are designed to improve business efficiency through better reporting.,"Analytics, Business Intelligence, SaaS, Web Development",1.0,10,3084.3,0.29422509,0,0,,34.0,113.2,1200.0,10.0,3.9,3.0,13.5,92.5,678.1,936.1
wwire,,Wwire is a Russia startup company that creates digital objects to link real and virtual lives.,"Mobile, Mobile Apps, Service Industry",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eccentexcorporation,,"Eccentex delivers case management solutions through AppBase, its Dynamic Case Management (DCM) Platform-as-a-Service (PaaS) application.","Cloud Computing, Enterprise Software",1.0,0,0.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationx,stationxinc,Station X develops software products that enable scientists and clinicians to extract maximal biological meaning from complex genomic data.,"Developer Platform, Developer Tools, Genetics, Software",5.9,10,18761.3,0.951872348,0,0,,10.5,5.0,4.6,19.8,6.4,5.6,394.1,12.5,18300.0,2.8
gamificationorg,,Gamify_provides an online portal and operates as a resource and community for gamification news and best practices.,"Developer Tools, Gamification",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celsion,,"Celsion is a biopharmaceutical company which develops innovative, targeted therapies that address unmet medical needs in oncology.","Biotechnology, Health Care, Therapeutics",1.0,10,444.3,0.203305997,0,0,,63.8,20.0,143.8,47.7,5.0,20.0,3.2,106.0,2.7,32.1
beamzinteractive,,Beamz Interactive is a recreational musical instrument and music entertainment product.,"Media and Entertainment, Music, Musical Instruments",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nobleapplications,,Noble Applications is a mobile application developer for businesses.,"Apps, Mobile, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fingo,,Fingo is a mobile app with augmented reality that allows users to choose personalized home furniture.,"Apps, E-Commerce, Furniture, Mobile",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worthit,,Worth It is a eCommerce sales notification application.,"E-Commerce, Shopping",1.0,10,135.1,0.164059191,0,0,,3.0,2.3,30.4,12.5,17.7,11.1,32.8,18.9,1.0,5.4
nexb,,DejaCode is an open data platform for managing open source and third-party software components in your products.,"Open Source, SaaS, Software",4.0,9,139.9,0.178995923,0,0,,37.5,8.0,9.7,3.6,9.5,11.0,17.6,6.0,37.0,0.0
keenjar,,Keenjar is a place to discover and share video content with others.,"Art, Content Discovery, EdTech, Education, Information Technology",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qumulo,,"Qumulo is a startup company developing simple, scalable, and efficient enterprise data storage systems.","Big Data, Data Storage, Enterprise Software",22.8,10,11231.9,0.699568553,0,0,,30.6,3.0,29.3,12.0,50.0,1.0,9200.0,5.0,1900.0,1.0
soundbetter,,Marketplace for music production,"Internet, Marketplace, Music",7.0,9,66.1,0.234813616,0,0,,5.0,3.0,1.0,27.6,3.5,2.4,3.8,10.5,9.3,0.0
maxmytv,,MaxMyTV Smart Hub upgrades your TV to a Home Automation and Social Media Control Center.,"Internet, Internet of Things, Smart Home",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fitstar,,FitStar is a technology company developing health and fitness apps that help people streamline their workout sessions.,"Apps, Fitness, Health Care",4.0,8,68.5,0.449091587,0,0,,3.0,3.0,5.0,3.5,3.0,3.0,3.0,45.0,0.0,0.0
infernoredtechnology,,InfernoRed Technology is a software development services company.,"Consulting, Information Technology, iOS, Web Development",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mytraining,,The Platform for Fitness Workouts,"Fitness, Internet, Marketplace, Mobile, Social Media, Wellness",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isitechnology,,"Heatworks provides innovative electric liquid heating products for residential, commercial, and industrial applications.","Hardware, Internet of Things, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gliffy,,"Gliffy is an online diagram editor for creating and sharing flowcharts, network diagrams, floor plans, user interface designs and more. ","Collaboration, Computer, Enterprise Software, Internet, Software",5.2,10,102.4,0.22992897,0,0,,3.5,21.2,41.5,1.0,2.9,5.9,4.1,7.1,7.4,7.8
flowserve,"Flowserve specializes in supplying pumps, valves, seals, automation, and services to the power, oil, gas, chemical, and other industries.","Industrial Automation, Logistics",,3800.0,10,103681.6,0.864337626,0,0,,123.7,1500.0,3200.0,7.1,10.0,13.5,96300.0,181.7,2300.0,45.6
king2,,Roadmap improves efficiency and transparency for project-driven teams by unifying your task management and collaboration stack.,"Business Intelligence, Project Management",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathfinderhealth,,Pathfinder Health is a health and fitness company providing mobile healthcare services.,"Fitness, Health Care, mHealth",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rethinkeducation,,Rethink Education is a venture capital fund focused exclusively on education technology that invests in early- and growth-stage start-ups,"EdTech, Enterprise Software",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bionanovations,,BioNanovations is developing a real-time bacterial diagnostic platform to decrease the diagnostic time of Staph infections.,"Health Care, Health Diagnostics",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snapmyad,snapmyad,"SnapMyAd, a mobile app, uses social media for ad creation and enables its users to win perks from brands for their photos.","Advertising, iOS, Photo Sharing, Photography",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maxwellhealth,maxwellhealth,Maxwell Health is a technology platform and innovative marketplace solution that makes benefits and HR simple.,"Enterprise Software, Health Care, Human Resources, Mobile, SaaS",6.0,10,569.3,0.261976358,0,1,,80.0,2.0,45.2,46.4,12.0,258.7,25.0,12.5,7.5,80.0
menloparksoftware,,Worry Free Compliance_,"Enterprise Software, SaaS, Software",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filmfunder,,Kickstarter meets E-Trade for film inves,"Crowdfunding, Film, Financial Services",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dfmsim,,DFMSim is a semiconductor company developing a simulation technology that enables designing and production of more complex chips.,"Electronics, Hardware, Semiconductor",,0,0.0,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logicalchoicetechnologies,logicalchoice,Logical Choice Technologies is a developer of educational technologies for students and educators.,"EdTech, Education",24.3,9,418.5,0.320379748,0,1,,90.0,47.8,10.0,1.1,9.0,7.5,209.5,39.8,3.8,0.0
codehs,,CodeHS is a comprehensive platform for helping high schools teach computer science.,"Developer Platform, E-Learning, EdTech, Education, Secondary Education, STEM Education",25.8,10,248.7,0.49050381600000004,0,0,,6.0,3.0,4.0,1.0,5.0,48.3,166.8,8.0,5.6,1.0
snapshots,,Snapshots is a powerful SaaS platform designed for professional wedding vendors and their clients.,"Apps, E-Commerce, Mobile, Photography, Software, Wedding",1.0,8,783.4,0.5236179120000001,0,0,,12.0,40.0,65.0,24.7,50.0,27.6,558.1,6.0,0.0,0.0
vendorsi,,Vendorsi is the world's first and only 100% independent platform for objective software research.,"Big Data, Enterprise Software, SaaS",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
democrasoft,Democrasoft is a leading provider of innovation in social collaboration and voting platforms for building successful online communities.,"Collaboration, Knowledge Management, Software",,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collectit,,"Collect.it is a mobile application that enables users to discover, save, and share what they love on the web.","Mobile, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insidesalescom,,Insidesales.com designs and develops sales automation platforms.,"Analytics, Artificial Intelligence, Big Data, Enterprise Software, Lead Management, Machine Learning, Predictive Analytics, SaaS, Sales Automation",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brookstone,,Brookstone is a nationwide specialty retailer that offers an assortment of consumer products.,"Consumer, Retail",117.7,10,878.8,0.22128978,0,0,,10.0,305.0,180.0,137.1,9.9,18.5,150.0,60.0,5.5,2.8
simplyinsured,,SimplyInsured allows you to estimate your real Out-of-Pocket costs when purchasing health insurance.,"E-Commerce, Health Care, Insurance",1.0,10,280.1,0.397640538,0,0,,3.8,2.0,6.0,13.3,4.2,156.4,80.0,8.0,2.0,4.4
pheebo,,"The best way to watch video on your iPhone, iPad, and Apple TV.","Apps, Consumer Electronics, iOS, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emergefinancialwellness,,"Emerge! provides employer-backed workplace loans, using innovative models for risk assessment, that effectively replace payday lenders.",Finance,10.0,10,7007.0,0.48698135200000003,0,0,,1.0,109.2,70.0,6.4,1500.0,9.6,694.8,7.5,8.5,4600.0
yogatrail,,A global yoga network that connect yoga practitioners with their instructors and studios,"Fitness, Freemium, Health Care, Social Media",8.0,9,78.0,0.238990796,0,0,,6.0,3.5,26.4,1.0,10.0,5.0,1.0,24.1,1.0,0.0
yrmrkt,,"YR.MRKT is a social shopping platform that connects brands with shoppers to shop, sell, and share products.","Brand Marketing, E-Commerce, Fashion, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cureeo,,Cureeo is an online marketplace that offers original and limited edition artwork to collectors and novice art enthusiasts.,"Art, E-Commerce",12.5,9,273.9,0.549532725,0,0,,10.0,29.9,1.7,3.4,7.5,6.6,5.3,9.5,200.0,0.0
insightly,insightly,"Grow your relationships, accelerate sales, manage your projects, and streamline business processes__ll with Insightly CRM","CRM, Enterprise Software, Project Management, SaaS, Small and Medium Businesses, Software",14.0,9,2545.3,0.586612672,0,0,,7.0,1900.0,42.0,1.0,3.4,1.8,103.9,70.5,415.7,0.0
ocztechnology,ocz,"OCZ Storage Solutions develops solid state drives such as DDR RAM, video cards, USB drives, various cooling products, and more.","Computer, Enterprise Software, Service Industry",131.7,8,121.8,0.200292007,0,0,,2.8,6.1,5.0,22.8,30.6,29.3,1.0,24.2,0.0,0.0
nuvustudio,,Innovative Education for the Future,Education,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coub,,Coub is an online portal that enables users to create high quality moving images with sound.,"Photography, Video",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
positrondynamics,,Positron dynamics develops positron beam technologies used in the testing of critical components in the aerospace and defense markets.,"Aerospace, Information Technology, Manufacturing",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formzapper,formzapper,LendingStandard modernizes multifamily finance,"Banking, Commercial Real Estate, Document Management, Enterprise Software, Real Estate",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repairreport,,"Repair Report is an automobile repair network offering online listings, deals, and offers of various repair report centers.","Automotive, E-Commerce, Social Network, Web Browsers",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owncloud,,"ownCloud, an open-source project that enables businesses to host their own cloud storage while maintaining regulatory and compliance needs.","Cloud Storage, Enterprise Software, Open Source",4.4,10,175.3,0.248316552,0,0,,8.0,16.5,80.0,15.0,7.4,2.7,12.0,18.0,10.7,5.0
lassomedia,,Lasso offers a mobile app that enables its users to share photos with their friends.,"Photography, Private Social Networking",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfsweb,PFSweb develops and deploys comprehensive end-to-end e-Commerce solutions for a wide range of industries.,"Consulting, E-Commerce, Information Services, Information Technology",,325.8,10,234553.7,0.23608339399999997,0,0,,15.7,40100.0,33.2,4.8,4000.0,79600.0,58500.0,38800.0,8900.0,4600.0
hapyak,,HapYak is the world-leading interactive video platform.,"Brand Marketing, Corporate Training, E-Commerce, Enterprise Software, SaaS, Video",1.0,10,78.3,0.242609148,0,0,,1.0,8.0,12.0,2.0,3.3,1.4,33.8,2.4,5.0,9.4
mark43,,"Mark43 is building a new kind of public safety platform that allows first responders to collect, manage, analyze, and share information.","Cloud Computing, GovTech, Law Enforcement, Public Safety, Software",5.6,10,1818.8,0.404771857,0,0,,11.3,3.0,10.0,935.3,25.0,2.0,5.1,50.0,106.7,670.4
smartcoffeetechnology,,Smart Coffee Technology is a technology developing company providing tools & hardware products that integrate the coffee industry.,"Coffee, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infocheckpoint,,"Info CheckPoint provides B2B data through an online application that allows instant accessibility to people, business & company information.","B2B, Big Data, Direct Marketing, Email, Email Marketing, Lead Generation, Sales Automation, Search Engine",1.0,10,356.1,0.226890963,0,0,,5.0,84.4,18.0,6.1,16.1,114.7,87.3,12.0,5.0,7.5
wondermall,,"A virtual shopping mall for iPad, gathering dozens of top brand stores on a single app.","Mobile, Shopping",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphynkxtherapeutics,,SphynKx Therapeutics is a biotechnology company developing therapies for the treatment of diseases such as cancer and fibrosis.,"Biotechnology, Therapeutics",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rijuven,,Rijuven is a medical device company developing portable point-of-care diagnostic devices.,"Health Care, Health Diagnostics, Medical Device, mHealth",3.0,10,31.0,0.170010406,0,0,,1.2,2.0,4.0,4.0,4.0,10.0,1.0,1.3,1.0,2.5
brushfireinteractive,,Brushfire Interactive is a mobile and web developer contracted by businesses.,"Apps, Mobile, Non Profit, Software",4.1,9,384.4,0.399109495,0,0,,10.0,4.0,1.0,102.5,218.3,4.9,12.1,19.4,12.2,0.0
seekretreat,,Seek your retreat. We provide eco-luxury adventure retreats in the world of yoga.,Health Care,12.0,4,28.2,0.7274533470000001,0,0,,23.9,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
absolutdata,,AbsoluteData offers analytics-based solutions that enable its clients to enhance customer loyalty and accelerate revenue cycles.,"Analytics, Big Data, Consulting, Data Integration",25.0,10,78672.1,0.404899026,0,0,,30.1,3.0,4.0,10200.0,8.5,12.5,9.0,39800.0,28600.0,5.0
aayuja,,Outsourced Technology Sales Solutions,"Consulting, Lead Generation, Social Media Marketing",1.7,10,125.2,0.166941839,0,0,,23.4,13.1,1.0,1.0,35.0,9.0,2.9,11.8,19.0,9.0
haload,,Haload is a one-stop-shop for companies and individuals looking to receive 30-second quotes from qualified transportation carriers.,"E-Commerce, Mobile, Price Comparison, Public Transportation, Transportation",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poppin,,Office Furniture Solutions,"B2B, Furniture",63.6,10,252951.0,0.376539016,0,0,,10.0,2.8,10.0,25.0,3.2,20200.0,52000.0,141700.0,11100.0,27900.0
appcurious,,AppCurious is an Internet forum enabling app users to get their questions answered and get personalized app recommendations from developers.,"Apps, Mobile, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adbrain,,"Adbrain powers marketers and their partners to understand and engage with their customers 1:1 across devices, channels and platforms.","Advertising, Artificial Intelligence, Enterprise Software, Marketing Automation, Mobile",1.0,7,9652.9,0.5720328610000001,0,0,,2900.0,2.5,30.0,1.0,6700.0,15.0,4.4,0.0,0.0,0.0
maventusmedia,,Complete visual content management & social publishing software,"Advertising, Social Media, Social Media Marketing, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everwise,geteverwise,Everwise__ software and services connect employees to the experts and insights they need to be successful at every stage of their career,"Human Resources, SaaS, Software",3.5,10,596.6,0.796098385,0,0,,4.5,10.0,16.7,16.0,2.0,1.0,2.8,3.0,531.6,9.0
deepforestmedia,,Self-learning DSP for Mobile,"Advertising, Big Data, Mobile, Mobile Advertising",4.4,10,461.2,0.497972501,0,0,,3.3,6.0,6.1,85.6,2.4,15.7,9.7,7.9,11.5,313.0
mindplatetv,,internet video streaming service,"Film, Video",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zergnet,,Content Recommendation that promotes links to your articles on hundreds of partner sites in a private network.,"Advertising, Content Creators, Content Discovery, Software",2.9,10,184.3,0.39844417200000004,0,0,,1.0,15.1,5.0,10.0,20.0,8.5,4.0,112.5,3.2,5.0
sesamii,,"Sesamii is a service that helps consumers plan their weekend nightlife with a list of the best bars and clubs, and trusted expert reviews.","Lifestyle, Location Based Services, Mobile, Nightclubs",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crowdsupply,,Where engineers and designers crowdfund awesome new products.,"Consumer Electronics, Crowdfunding, E-Commerce, Hardware, Internet of Things, Product Design",3.2,10,214.4,0.214724535,0,0,,19.4,34.6,5.0,23.0,83.1,7.7,6.5,5.0,26.4,3.7
albaorbital,,Alba Orbital build and design the world's smallest commercial satellite platforms being PocketQube format.,"Aerospace, Satellite Communication, Space Travel",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celebcalls,,CelebCall offers a personalized greeting service that allows users to create and send audio messages voiced by a celebrity.,"Android, Apps, Celebrity, iOS, Messaging, Mobile, Professional Services, Sports",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ultralinqhealthcaresolutions,,UltraLinq Healthcare Solutions is a cloud based medical image and data management platform.,"Health Care, Information Technology, SaaS",10.0,10,308.5,0.583407769,0,0,,7.0,5.5,10.0,234.2,5.0,12.0,10.3,10.0,10.0,4.5
parametric,parametricportfolio,"Parametric offers CheckMate, a mobile ordering and payment software solution for the restaurant industry.","Analytics, Big Data, Mobile, Mobile Payments, Software, Sports",27.1,10,39251.2,0.563470254,0,0,,25.0,6.6,40.1,20.0,15.5,35.0,8500.0,2500.0,28100.0,9.0
higherlearningtechnologies,hltcorp,HLT specializes in using mobile technology to create better education solutions,"Apps, EdTech, Education, iOS, Mobile, Software",3.0,9,2247.9,0.8748244470000001,0,0,,8.0,3.0,2.4,100.0,12.0,1.0,17.1,2100.0,4.4,0.0
ovascience,"OvaScience is a life sciences company focused on the discovery, development and commercialization of treatments for infertility.","Biotechnology, Health Care, Life Science",,1.0,9,121.5,0.229858592,0,0,,49.0,10.0,22.0,1.0,4.3,6.0,15.7,9.5,4.0,0.0
908devices,908devices,"908devices manufactures battery-operated, hand-held chemical detection tools used in mass spectrometry.","Battery, Chemical, Manufacturing",4.4,10,10380.8,0.36999668799999996,0,0,,25.0,8.0,9.7,7.0,16.1,5.0,10.0,1900.0,3500.0,4900.0
versanetworks,versa-networks,Versa Networks is an innovative vendor in the SD-WAN and SD-Security market.,"Network Hardware, Network Security, Telecommunications",10.0,10,52182.0,0.948184008,0,0,,15.8,7.0,6.5,16.3,96.7,35.0,1100.0,80.0,50800.0,24.7
